accession	gene	function	normal	MMS
YNL297C	MON2	Peripheral membrane protein with a role in endocytosis and vacuole integrity, interacts with Arl1p and localizes to the endosome	NA	NA
YNL298W	CLA4	Cdc42p-activated signal transducing kinase of the PAK (p21-activated kinase) family, along with Ste20p and Skm1p	NA	NA
YNL301C	RPL18B	Protein component of the large (60S) ribosomal subunit, identical to Rpl18Ap and has similarity to rat L18 ribosomal protein	NA	Down
YNL302C	RPS19B	Protein component of the small (40S) ribosomal subunit, required for assembly and maturation of pre-40 S particles	Down	Down
YNL306W	MRPS18	Mitochondrial ribosomal protein of the small subunit	NA	NA
YNL307C	MCK1	Protein serine/threonine/tyrosine (dual-specificity) kinase involved in control of chromosome segregation and in regulating entry into meiosis	Up	Down
YNL308C	KRI1	Essential nucleolar protein required for 40S ribosome biogenesis	NA	NA
YNL323W	LEM3	Membrane protein of the plasma membrane and ER, interacts specifically in vivo with the phospholipid translocase (flippase) Dnf1p	NA	NA
YNL325C	FIG4	Phosphatidylinositol 3,5-bisphosphate (PtdIns[3,5]P) phosphatase	NA	NA
YNL327W	EGT2	Glycosylphosphatidylinositol (GPI)-anchored cell wall endoglucanase required for proper cell separation after cytokinesis, expression is activated by Swi5p and tightly regulated in a cell cycle-dependent manner	NA	NA
YNR001C	CIT1	Citrate synthase, catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate	Up	Up
YNR006W	VPS27	Endosomal protein that forms a complex with Hse1p	NA	NA
YNR008W	LRO1	Acyltransferase that catalyzes diacylglycerol esterification	NA	NA
YNR011C	PRP2	RNA-dependent ATPase in the DEAH-box family, required for activation of the spliceosome before the first transesterification step in RNA splicing	NA	NA
YNR012W	URK1	Uridine/cytidine kinase, component of the pyrimidine ribonucleotide salvage pathway that converts uridine into UMP and cytidine into CMP	NA	NA
YNR016C	ACC1	Acetyl-CoA carboxylase, biotin containing enzyme that catalyzes the carboxylation of acetyl-CoA to form malonyl-CoA	Down	Down
YNR017W	TIM23	Essential component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex)	NA	NA
YNR019W	ARE2	Acyl-CoA:sterol acyltransferase, isozyme of Are1p	NA	NA
YNR021W	YNR021W	Putative protein of unknown function	NA	NA
YNR026C	SEC12	Guanine nucleotide exchange factor (GEF), activates Sar1p by catalyzing the exchange of GDP for GTP	NA	NA
YNR029C	YNR029C	Putative protein of unknown function, deletion confers reduced fitness in saline	NA	NA
YNR031C	SSK2	MAP kinase kinase kinase of the HOG1 mitogen-activated signaling pathway	NA	NA
YNR033W	ABZ1	Para-aminobenzoate (PABA) synthase, has similarity to Escherichia coli PABA synthase components PabA and PabB	NA	NA
YNR035C	ARC35	Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches	NA	NA
YNR043W	MVD1	Mevalonate pyrophosphate decarboxylase, essential enzyme involved in the biosynthesis of isoprenoids and sterols, including ergosterol	NA	NA
YNR047W	FPK1	Ser/Thr protein kinase that regulates the putative phospholipid translocases Lem3p-Dnf1p/Dnf2p	NA	NA
YNR050C	LYS9	Saccharopine dehydrogenase (NADP+, L-glutamate-forming)	Down	NA
YNR053C	NOG2	Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation	NA	NA
YNR054C	ESF2	Essential nucleolar protein involved in pre-18S rRNA processing	NA	NA
YNR056C	BIO5	Putative transmembrane protein involved in the biotin biosynthesis pathway	NA	NA
YNR058W	BIO3	7,8-diamino-pelargonic acid aminotransferase (DAPA), catalyzes the second step in the biotin biosynthesis pathway	NA	Up
YNR063W	YNR063W	Putative zinc-cluster protein of unknown function	NA	NA
YNR064C	YNR064C	Epoxide hydrolase, member of the alpha/beta hydrolase fold family	NA	NA
YNR067C	DSE4	Daughter cell-specific secreted protein with similarity to glucanases, degrades cell wall from the daughter side causing daughter to separate from mother	NA	NA
YNR068C	YNR068C	Putative protein of unknown function	NA	NA
YNR069C	BSC5	Protein of unknown function, ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression	NA	NA
YNR070W	PDR18	Putative transporter of the ATP-binding cassette (ABC) family, implicated in pleiotropic drug resistance	NA	NA
YNR071C	YNR071C	Putative protein of unknown function	NA	NA
YNR075C-A	YNR075C-A	Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	NA	NA
YOL004W	SIN3	Component of the Sin3p-Rpd3p histone deacetylase complex, involved in transcriptional repression and activation of diverse processes, including mating-type switching and meiosis	NA	NA
YOL005C	RPB11	RNA polymerase II subunit B12.5	Up	NA
YOL006C	TOP1	Topoisomerase I, nuclear enzyme that relieves torsional strain in DNA by cleaving and re-sealing the phosphodiester backbone	NA	NA
YOL008W	COQ10	Coenzyme Q (ubiquinone) binding protein, functions in the delivery of Q<sub>6</sub> to its proper location for electron transport during respiration	NA	NA
YOL010W	RCL1	Subunit of U3-containing 90S preribosome processome complex involved in 18S rRNA biogenesis and small ribosomal subunit assembly	NA	NA
YOL011W	PLB3	Phospholipase B (lysophospholipase) involved in phospholipid metabolism	NA	NA
YOL015W	IRC10	Putative protein of unknown function	NA	NA
YOL016C	CMK2	Calmodulin-dependent protein kinase	NA	NA
YOL020W	TAT2	High affinity tryptophan and tyrosine permease, overexpression confers FK506 and FTY720 resistance	NA	NA
YOL022C	TSR4	Cytoplasmic protein required for correct processing of the 20S pre-rRNA at site D to generate mature 18S rRNA	NA	NA
YOL023W	IFM1	Mitochondrial translation initiation factor 2	NA	NA
YOL024W	YOL024W	Putative protein of unknown function	Down	Down
YOL027C	MDM38	Mitochondrial inner membrane protein, involved in membrane integration of a subset of mitochondrial proteins	NA	NA
YOL030W	GAS5	1,3-beta-glucanosyltransferase, has similarity to Gas1p	NA	NA
YOL034W	SMC5	Structural maintenance of chromosomes (SMC) protein	NA	NA
YOL038W	PRE6	Alpha 4 subunit of the 20S proteasome	NA	Down
YOL039W	RPP2A	Ribosomal protein P2 alpha, a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome	NA	Down
YOL040C	RPS15	Protein component of the small (40S) ribosomal subunit	Down	NA
YOL042W	NGL1	Putative endonuclease, has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p	Down	NA
YOL044W	PEX15	Phosphorylated tail-anchored type II integral peroxisomal membrane protein required for peroxisome biogenesis, cells lacking Pex15p mislocalize peroxisomal matrix proteins to cytosol, overexpression results in impaired peroxisome assembly	NA	NA
YOL045W	PSK2	One of two (see also PSK1) PAS domain containing S/T protein kinases	NA	NA
YOL049W	GSH2	Glutathione synthetase, catalyzes the ATP-dependent synthesis of glutathione (GSH) from gamma-glutamylcysteine and glycine	NA	NA
YOL051W	GAL11	Subunit of the RNA polymerase II mediator complex	NA	NA
YOL052C	SPE2	S-adenosylmethionine decarboxylase, required for the biosynthesis of spermidine and spermine	NA	NA
YOL055C	THI20	Multifunctional protein with hydroxymethylpyrimidine phosphate (HMP-P) kinase and thiaminase activities	NA	NA
YOL057W	YOL057W	Dipeptidyl-peptidase III	NA	NA
YOL058W	ARG1	Arginosuccinate synthetase, catalyzes the formation of L-argininosuccinate from citrulline and L-aspartate in the arginine biosynthesis pathway	Up	Up
YOL059W	GPD2	NAD-dependent glycerol 3-phosphate dehydrogenase, homolog of Gpd1p, expression is controlled by an oxygen-independent signaling pathway required to regulate metabolism under anoxic conditions	NA	NA
YOL061W	PRS5	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis	NA	NA
YOL064C	MET22	Bisphosphate-3'-nucleotidase, involved in salt tolerance and methionine biogenesis	NA	NA
YOL067C	RTG1	Transcription factor (bHLH) involved in interorganelle communication between mitochondria, peroxisomes, and nucleus	NA	NA
YOL075C	YOL075C	Putative ABC transporter	NA	NA
YOL076W	MDM20	Non-catalytic subunit of the NatB N-terminal acetyltransferase, which catalyzes N-acetylation of proteins with specific N-terminal sequences	NA	NA
YOL077W-A	ATP19	Subunit k of the mitochondrial F1F0 ATP synthase, which is a large enzyme complex required for ATP synthesis	Up	Up
YOL078W	AVO1	Component of a membrane-bound complex containing the Tor2p kinase and other proteins, which may have a role in regulation of cell growth	NA	NA
YOL081W	IRA2	GTPase-activating protein that negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions, has similarity to Ira1p and human neurofibromin	Down	NA
YOL083W	ATG34	Receptor protein involved in selective autophagy during starvation	NA	NA
YOL084W	PHM7	Protein of unknown function, expression is regulated by phosphate levels	NA	NA
YOL086C	ADH1	Alcohol dehydrogenase, fermentative isozyme active as homo- or heterotetramers	Up	Up
YOL087C	YOL087C	Putative protein of unknown function	NA	NA
YOL093W	TRM10	tRNA methyltransferase, methylates the N-1 position of guanosine in tRNAs	NA	NA
YOL094C	RFC4	Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon	NA	NA
YOL095C	HMI1	Mitochondrial inner membrane localized ATP-dependent DNA helicase, required for the maintenance of the mitochondrial genome	NA	NA
YOL097C	WRS1	Cytoplasmic tryptophanyl-tRNA synthetase, aminoacylates tryptophanyl-tRNA	Down	Down
YOL100W	PKH2	Serine/threonine protein kinase involved in sphingolipid-mediated signaling pathway that controls endocytosis	NA	NA
YOL103W	ITR2	Myo-inositol transporter with strong similarity to the major myo-inositol transporter Itr1p, member of the sugar transporter superfamily	NA	NA
YOL109W	ZEO1	Peripheral membrane protein of the plasma membrane that interacts with Mid2p	NA	NA
YOL111C	MDY2	Protein with a role in insertion of tail-anchored proteins into the ER membrane	Down	NA
YOL123W	HRP1	Subunit of cleavage factor I, a five-subunit complex required for the cleavage and polyadenylation of pre-mRNA 3' ends	NA	Down
YOL127W	RPL25	Primary rRNA-binding ribosomal protein component of the large (60S) ribosomal subunit, has similarity to E. coli L23 and rat L23a ribosomal proteins	NA	Up
YOL138C	RTC1	Protein of unknown function	NA	NA
YOL139C	CDC33	Cytoplasmic mRNA cap binding protein and translation initiation factor eIF4E	NA	NA
YOL140W	ARG8	Acetylornithine aminotransferase, catalyzes the fourth step in the biosynthesis of the arginine precursor ornithine	Up	NA
YOL141W	PPM2	AdoMet-dependent tRNA methyltransferase also involved in methoxycarbonylation	NA	NA
YOL142W	RRP40	Exosome non-catalytic core component	Up	NA
YOL151W	GRE2	3-methylbutanal reductase and NADPH-dependent methylglyoxal reductase (D-lactaldehyde dehydrogenase)	NA	Up
YOL159C-A	YOL159C-A	Putative protein of unknown function	NA	NA
YOR001W	RRP6	Nuclear exosome exonuclease component	NA	NA
YOR004W	UTP23	Essential nucleolar protein that is a component of the SSU (small subunit) processome involved in 40S ribosomal subunit biogenesis	NA	NA
YOR005C	DNL4	DNA ligase required for nonhomologous end-joining (NHEJ), forms stable heterodimer with required cofactor Lif1p, interacts with Nej1p	NA	NA
YOR007C	SGT2	Glutamine-rich cytoplasmic protein that serves as a scaffold for binding Get4/5p and other proteins required to mediate posttranslational insertion of tail-anchored proteins into the ER membrane	NA	NA
YOR009W	TIR4	Cell wall mannoprotein of the Srp1p/Tip1p family of serine-alanine-rich proteins	NA	NA
YOR011W	AUS1	Transporter of the ATP-binding cassette family, involved in uptake of sterols and anaerobic growth	NA	NA
YOR014W	RTS1	B-type regulatory subunit of protein phosphatase 2A (PP2A)	NA	NA
YOR018W	ROD1	Membrane protein that binds the ubiquitin ligase Rsp5p via its 2 PY motifs	NA	NA
YOR020C	HSP10	Mitochondrial matrix co-chaperonin that inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin	Down	Down
YOR021C	YOR021C	Putative protein of unknown function	NA	NA
YOR027W	STI1	Hsp90 cochaperone, interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity	Down	NA
YOR034C	AKR2	Ankyrin repeat-containing protein similar to Akr1p	NA	NA
YOR035C	SHE4	Protein containing a UCS (UNC-45/CRO1/SHE4) domain, binds to myosin motor domains to regulate myosin function	NA	NA
YOR037W	CYC2	Mitochondrial peripheral inner membrane protein, contains a FAD cofactor in a domain exposed in the intermembrane space	NA	Down
YOR038C	HIR2	Subunit of the HIR complex, a nucleosome assembly complex involved in regulation of histone gene transcription	NA	NA
YOR043W	WHI2	Protein required, with binding partner Psr1p, for full activation of the general stress response, possibly through Msn2p dephosphorylation	NA	Up
YOR046C	DBP5	Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family involved in mRNA export from the nucleus	NA	Up
YOR048C	RAT1	Nuclear 5' to 3' single-stranded RNA exonuclease, involved in RNA metabolism, including rRNA and snRNA processing as well as poly (A+) dependent and independent mRNA transcription termination	NA	NA
YOR051C	ETT1	Nuclear protein that inhibits replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of positive-strand RNA viruses in their natural hosts	Down	NA
YOR054C	VHS3	Negative regulatory subunit of protein phosphatase 1 Ppz1p and also a subunit of the phosphopantothenoylcysteine decarboxylase (PPCDC	NA	NA
YOR056C	NOB1	Essential nuclear protein involved in proteasome maturation and synthesis of 40S ribosomal subunits	NA	NA
YOR057W	SGT1	Cochaperone protein	NA	NA
YOR058C	ASE1	Mitotic spindle midzone localized microtubule-associated protein (MAP) family member	NA	NA
YOR061W	CKA2	Alpha' catalytic subunit of casein kinase 2, a Ser/Thr protein kinase with roles in cell growth and proliferation	Down	NA
YOR063W	RPL3	Protein component of the large (60S) ribosomal subunit, has similarity to E. coli L3 and rat L3 ribosomal proteins	NA	NA
YOR064C	YNG1	Subunit of the NuA3 histone acetyltransferase complex that acetylates histone H3	NA	NA
YOR066W	MSA1	Activator of G1-specific transcription factors, MBF and SBF	NA	NA
YOR069W	VPS5	Nexin-1 homolog required for localizing membrane proteins from a prevacuolar/late endosomal compartment back to the late Golgi apparatus	NA	NA
YOR074C	CDC21	Thymidylate synthase, required for de novo biosynthesis of pyrimidine deoxyribonucleotides	NA	NA
YOR076C	SKI7	Coupling protein that mediates interactions between the Ski complex and the cytoplasmic exosome during 3'-5' RNA degradation	NA	NA
YOR080W	DIA2	Origin-binding F-box protein that forms an SCF ubiquitin ligase complex with Skp1p and Cdc53p	NA	Down
YOR081C	TGL5	Bifunction enzyme with triacylglycerol lipase and lysophosphatidic acid acyltransferase activity	NA	NA
YOR086C	TCB1	Lipid-binding protein containing three calcium and lipid binding domains	NA	NA
